ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
35/EE/GD-1/2025-26,"Repair of Tiling work in SMQs at AFS Hindan, Ghaziabad dg. 2025-26.","₹27,24,120",06/06/2025 15:00,"₹54,482",06/06/2025 15:30
NIT09AERAJKOT202526,Painting work of Type II 12 Nos and Type III 08 Nos quarters at Kendranchal Colony GPRA Rajkot,"₹5,64,915",06/06/2025 15:00,"₹11,284",06/06/2025 15:30
32/EE/GD-1/2025-26,"A/R & M/O DAB at AFS Hindan, Ghaziabad dg 2025-26 (SH: External White Wash at SMQs Area).","₹25,48,296",06/06/2025 15:00,"₹50,966",06/06/2025 15:30
12/DDH/Lucknow/2025-26,"Construction of Workshop-cum-incubation Center, Married Accommodation and Directors Bungalow i/c Internal EI and fans, fire fighting, fire alarm, CCTV, VRV system and development work at RGIPT, Jais Amethi (U.P.) SH: Development of site, S.W- Horticulture work.Subwork/Packages:SH: Development of site, S.W- Horticulture work.","₹6,90,340",06/06/2025 15:00,"₹13,807",06/06/2025 15:30
41/EE-AMRITSAR/2025-26,"A/R & M/O to Residential & Technical Buildings at No. 1FBSU, Airforce Rajasansi, Amritsar dg. 2025-26. SH: Operation of Sewerage Treatment Plant.","₹14,20,549",06/06/2025 15:00,"₹28,415",06/06/2025 15:30
05/SE&PD/EE/SURAT/2025-26,"Repair and Renovation work of Gajjar Bhavan Hostel Building including connecting two wings of the existing building with RCC framed structure including internal Electrical Installation works at SVNIT Campus, Surat","₹17,27,64,499",13/06/2025 15:00,"₹27,27,645",13/06/2025 15:30
32/EE/CHD-I/2025-26,"Renovation of Type-I/10 nos. Quarters at Sector-7 A, B & C, Chandigarh during 2025-26.","₹21,21,854",06/06/2025 15:00,"₹42,437",06/06/2025 15:30
15/EE(E)/JED/CPWD/2025-26,Repairing and Replacement of electrical accessories at NTRO BU Khasa AmritsarSubwork/Packages:Electrical Work,"₹11,45,837",06/06/2025 15:00,"₹22,917",06/06/2025 15:30
34/EE/GD-1/2025-26,"A/R & M/O to DAB at AFS Hindan, Ghaziabad dg. 2025-26. (SH: repair/Replacement of windows in SMQs).","₹25,46,936",06/06/2025 15:00,"₹50,936",06/06/2025 15:30
04/EE/Nagpur-I/2025-26 Recall 1,AR and MO works of General Pool Office Accommodation GPOA at Seminary Hills During 2025-26 SH Day to Day maintenance at Seminary Hills Nagpur During 2025-26,"₹8,66,654",06/06/2025 15:00,"₹17,333",06/06/2025 15:30
31/EE/GD-1/2025-26,"A/R & M/o DAB at AFS Hindan, Ghaziabad dg. 2025-26. (SH: Providing services for day-to-day maintenance of SMQ).","₹79,02,810",06/06/2025 15:00,"₹1,58,056",06/06/2025 15:30
02/AE/Nagpur-I/2025-26,"Renovation of Ladies toilet at CGO Complex, 4th Floor Block A Seminary Hills Nagpur","₹4,59,673",06/06/2025 15:00,"₹9,193",06/06/2025 15:30
31/EE/E/CCED/CPWD/2025-26,Annual Comprehensive Maintenance and Servicing of 1 No. 10 Passengers Lift Installed at Income Tax Office Guest House Coimbatore for the year 2025-26.,"₹90,012",06/06/2025 15:05,"₹1,800",06/06/2025 15:30
20/NIT/EE(E)-Agra/2025-26,"Running operation and maintenance of specialized E&M services i/c substation DG set water supply pump set of GPRA colony CPWD Holiday Home and inspection bungalow at Sector-15, Sikandra Agra Uttar Pradesh during 2025-27Subwork/Packages:Electrical Maintenance work","₹58,93,188",17/06/2025 15:00,"₹1,17,864",17/06/2025 15:30
36/EE-II/SD/AE-III/2025-26,"A/R and M/O to def. Pool, Non residential and Residential building under Sub-Division-III, Shimla dg. 2025-26.SH: Cutting of tress and carriage of usefull wooden sleeper under jurisdiction of H.M. , RBB and GHQ Section Shimla.","₹5,69,359",06/06/2025 15:00,"₹11,387",06/06/2025 15:30
01 / AE - IV  / EE (MUMBAI - I) / 2025 - 26.,"A/R AND M/O  TO NAV BHAVAN AND EXCHANGE BUILDING, BALLARD ESTATE, MUMBAI 2025 - 26. SH : PROVIDING GRILL, PLASTER REPAIRING, TOILET FITTINGS AND MISC. WORKS.Subwork/Packages:NA","₹4,86,735",06/06/2025 15:00,"₹9,735",06/06/2025 15:30
03/AE/Nagpur-I/2025-26,"AR and MO to GPOA at Seminary Hills Nagpur During 2025-26 SH Providing services for 2 nos Manpower for Multi Tasking Services such as dak Services, attending doorbell etc to the Chief Engineer office Nagpur as directed by officer in charge.","₹2,84,367",06/06/2025 15:00,"₹5,687",06/06/2025 15:30
04/NIT/EE/RP/CPWD/2025-26,"Providing running and maintenance of inspection vehicle for Govt. duty of Executive Engineer, Ranchi Project, Ranchi. (Ch. to.: Contingencies of vaious works running under Ranchi Project, Hinoo, Airport Road, Ranchi).","₹5,49,670",06/06/2025 15:00,"₹10,993",06/06/2025 15:30
41/AE(E)/GESD/2025-26 - Recall 1,"RMO DG SET CPWD TRAINING INSTITUTE, GHAZIABAD SH: REPLACEMENT OF SPARE PARTS OF CUMMINS MAKE 250 KVA DG SET)Subwork/Packages:REPLACEMENT OF SPARE PARTS OF CUMMINS MAKE 250 KVA DG SET","₹2,47,851",10/06/2025 15:00,"₹4,957",10/06/2025 15:30
01/CE/SHG/2025-26,"Construction of STP 2 Nos. 40 KLD and 1 No. 25 KLD along with feeder line and underground collection tank including allied electrical works for frontier headquarter ITBP, Itanagar Ar. P. Package 2 Balance work.","₹2,43,44,050",06/06/2025 15:00,"₹4,86,881",06/06/2025 15:30
35/EE-II/SD/AE-III/2025-26,"Maint and Repair to A.G. Office under RBB Section Shimla during 2025-26. SH: Misc. civil work for creche at Ground Floor Room no.-1 and 34 of A.G. Office , Shimla.","₹5,63,219",06/06/2025 15:00,"₹11,264",06/06/2025 15:30
45/AE(E)/GESD/2025-26 - Recall 1,RMO E AND M SERVICES FOR THE OFFICE BUILDING OF INCOME TAX DEPARTMENT AT VAISHALI GHAZIABAD U.P. SH: REPLACEMENT OF SPARE PARTS OF CUMMINS MAKE 750 KVA DG SETSubwork/Packages:REPLACEMENT OF SPARE PARTS OF CUMMINS MAKE 750 KVA DG SET,"₹2,15,973",10/06/2025 15:00,"₹4,319",10/06/2025 15:30
18/2025-26/CCED/Chandigarh/Div,"SITC of grid connected rooftop solar PV generation panels in Residential complex at Kothis No. 3501, 3502 & 3504, Sector 24-D, Chandigarh","₹15,32,256",20/06/2025 15:00,"₹30,645",20/06/2025 15:30
15/NIT/EE/Nasik/PB/2025-26,AR and MO to residential quarter at GIPP colony Gandhinagar Nasik SH Providing services of computer operator at Division office,"₹5,49,932",06/06/2025 15:00,"₹10,999",06/06/2025 15:30
38/EE (E)/DED-21/2025-26 - Recall 1,"Renovation of Department of BEM Offices and Class Room at School of Planning and Architecture Building, IP Estate, New Delhi. (SH: Electrical & Civil Work)","₹56,00,229",06/06/2025 14:59,"₹1,12,005",06/06/2025 15:00
29/EE/E/CCED/CPWD/2025-26,"Construction of 100 Bedded ESI Hospital and 32 Nos Residential Qtrs. at Tirupur. SH: Providing Trasport facilities for Inspection Works of CCESD-II, CPWD, Coimbatore.","₹5,96,877",09/06/2025 15:05,"₹11,938",09/06/2025 15:30
NIQ No. 63(2)AE(E)-III/CPWD/Patna/25/94,"Annual maintenance of Holiday Home at Ashiana Digha Road, Rajeev Nagar, Patna (SH- SITC of Fly Insect Killer)Subwork/Packages:SITC of Fly Insect Killer","₹33,664",06/06/2025 15:00,₹0,06/06/2025 15:30
11/EE/Jodhpur/2025-26,"A/R & M/O (Civil) for Residential and Non Residential Buildings in Special Bureau, Jodhpur for the FY 2025-26Subwork/Packages:A/R & M/O work","₹28,75,575",06/06/2025 14:00,"₹57,512",06/06/2025 14:30
02/2025-26/EEManipur/Imp-recall,Construction of CC path and drain for CPWD office at GPRA colony Sangaiprou Imphal - Recall,"₹27,11,681",10/06/2025 15:00,"₹54,234",10/06/2025 15:30
03/EE&SM(E)/IIT(ISM)/2025-26,Up-gradation and modification of existing sports facilities and construction of Indoor multipurpose building for sports facilities at dhanbad (SH- Providing  inspection Vehicle for the IIT(ISM) Project Electrical Sub-Division under IIT(ISM) CPWD Dhanbad,"₹7,58,088",06/06/2025 15:00,"₹15,162",06/06/2025 15:30
09/2025-26/HYD.I/Hyderabad/4 (Re call),"Construction of 50m CISR of 10 lanes including installation of target system bullet proofing and anti ricochet treatment, ventilation, acoustical works, Sanitary works water supply at Site-C of SVP NPA Hyderabad. SH: Providing Services of Inspection Vehicle and LMV driver for the office of AEE, HCSD.I/4, SVP NPA Hyderabad.","₹5,53,311",06/06/2025 15:00,"₹11,066",06/06/2025 15:30
02/SE-KARNAL/CPWD/2025-26,"Repairing of existing road and main entrance gate, Construction of perimeter road along the boundary wall and Construction of 4 Nos. of Watch Tower and 1 No. of Sentry Post/Morcha and Supplying, installation, testing and commissioning of LED street light poles, LED post top Pole with fittings, cabling, feeder pillar panels etc. at GOI, Karnal, Haryana. (Civil plus Electrical)Subwork/Packages:Construction Work","₹1,90,38,324",06/06/2025 15:00,"₹3,80,767",06/06/2025 15:30
19(2)/2025/EE & SM (C)-II/Warangal/432-35,"Construction of RCC framed fly ash brick masonry compound wall with concertina coil, 3 Nos Gates & corresponding security rooms for Sammakka Sarakka Central Tribal University (SSCTU), Mulugu, Telangana. (SH: Geo Technical Investigation.)Subwork/Packages:Geo Technical Investigation",₹0,06/06/2025 15:00,₹0,
32/NIT/EE(E)/KOL-II/CPWD/2025-26,"Annual Repair under Comprehensive Maintenance of IIEST at Shibpur, Howrah-711103. (SH: Upgradation of quarter (B Type & D Type) during 2025-26)","₹25,73,829",06/06/2025 17:00,"₹51,477",06/06/2025 17:30
55/2025-26/EE-1/AE-IV/Shimla,"A/R and M/O to GPRA under Phagli Section Shimla during 2025-26. SH: Enhancement of water tanks capacity in Type-III GPRA qtrs & supply of material for attending day to day complaints received under Phagli Section, Shimla.","₹59,80,229",06/06/2025 15:00,"₹1,19,605",06/06/2025 15:30
67/AE(E)-II/FESD/2025-26,"RMO 40 KVA DG Set at CGHS Health Centre No 70 NH-IV, Faridabad. (SH : AC and Electrical works.)Subwork/Packages:AC and Electrical works","₹1,89,246",06/06/2025 15:00,"₹3,785",06/06/2025 15:30
59/2025-26/EE-1/AE-I/Shimla,"M/R to GPOA, Craigdhu-20 building at Longwood Shimla during 2025-26. (SH: Repair/renovation of DCs main office attached bathrooms, provision of structural steel work, fencing work, water storage tanks and other miscellaneous works at Craigdhu-20 building)","₹47,47,076",06/06/2025 15:00,"₹94,942",06/06/2025 15:30
01/SE-KARNAL/CPWD/2025-26,"Construction of Gene Bank at ICAR-NBAGR, Karnal, Haryana (Civil plus Electrical)Subwork/Packages:Construction Work","₹2,60,01,172",06/06/2025 15:00,"₹5,20,023",06/06/2025 15:30
77/AE(E)/HESD/2025-26,"Providing E and M Work Services at HAF, GZB (SH: Repair/Replacement of PVC Fills in Cooling Tower in 77 SQN at Technical Aera, HAF, GZB)","₹3,04,574",06/06/2025 15:00,"₹6,091",06/06/2025 15:30
21/NIT/EE-Ranchi/CPWD/2025-26,Repair of 08 Nos. Quarter (Quarters Type-II 4 Nos. and Type-I 4 Nos.) at Plandu Campus Ranchi,"₹12,84,133",06/06/2025 15:00,"₹25,683",06/06/2025 15:30
16/EE(E)/KED/2025-26/Karnal,Repair & Renovation of Building infrastructure at WSC Panipat.,"₹9,21,402",06/06/2025 15:00,"₹18,428",06/06/2025 15:30
69/EE(E)/FED/2025-26,MOEI AND FANS SUBSTATION DG SET AT OLD AND NEW CGO COMPLEX NH IV FARIDABAD SH SITC OF PREVENTION DEVICE WITH INBUILT SHORT CIRCUIT AND OVERLOAD PROTECTION,"₹26,82,155",06/06/2025 15:00,"₹53,673",06/06/2025 15:30
21/EE(E)/CPWD/Jaipur/2025-26/AE(E)-Ajmer,Renovation of Kitchen & Miscellaneous Repair work at Laxmi Bai Hostel Building RIE Ajmer (SH: E&M Work).,"₹7,82,074",06/06/2025 15:00,"₹15,641",06/06/2025 15:30
68/AE(E)-II/FESD/2025-26,"1. RMO KVA DG Set at CGHS Health Centre No 70 NH-IV, Faridabad. 2. MOEI & Fans, S/stn., DG Sets, C/L, service at CFQC & TI Building NH -IV, Faridabad. (SH : AMC of UPS.)Subwork/Packages:AMC of UPS","₹1,05,504",06/06/2025 15:00,"₹2,110",06/06/2025 15:30
NIT03/EE/MUMBAI-V/2025-26,"Renovation of existing Basketball & Volleyball court at LBS Camsar, Hay Bunder, Sewri, Mumbai.","₹30,27,425",09/06/2025 15:00,"₹60,549",09/06/2025 15:30
16/Hubli/EE/e-Tender/2025-26,"Construction of 1 No. Lab including providing internal electrical installation, fans, fittings etc. under PM SHRI scheme for Kendriya Vidyalaya Vijayapura, Karnataka.","₹47,60,302",06/06/2025 15:00,"₹95,206",06/06/2025 15:30
19(2)/2025/EE & SM (C)-II/Warangal/436-39,"Planning, Designing and Constructions of a 2500-Seat Open Air Amphitheatre at NIT Warangal, Telangana, including internal water supply and sanitary installation, external service connections, internal electrical installations, lifts, SITC of internal CCTV and LAN systems, site development with levelling, internal roads and paths, external sewerage, filtered water supply, storm water drains, horticulture works with irrigation network, and external CCTV surveillance and LED street lighting. (SH: Geo Technical Investigation.)Subwork/Packages:Geo Technical Investigation.",₹0,06/06/2025 15:00,₹0,
78/AE(E)/HESD/2025-26,"Providing E and M Work Services at HAF, GZB (SH: Replacement of 1.5 / 2 TR Split AC unit in Civil Division office at AF Stn Hindan use Contigencies approved by civil wing)","₹4,81,765",06/06/2025 15:00,"₹9,635",06/06/2025 15:30
70/EE(E)/FED/2025-26,AUGMENTATION OF 630 KVA TRANSFORMER AT OLD AND NEW RESIDENTIAL COLONY NH IV FARIDABAD,"₹13,69,222",06/06/2025 15:00,"₹27,384",06/06/2025 15:30
17/EE/AD/2025-26,Making arrangement for IDC at Red Fort Delhi on 15/08/2025 (SH: Providing arrangement of tentage seating arrangement at 15 August Park & other related works),"₹91,04,760",06/06/2025 15:00,"₹1,82,095",06/06/2025 15:30
71/EE(E)/FED/2025-26,SITC OF 26 PASSENGER LIFTS AT CIL BUILDING NH IV FARIDABAD,"₹26,45,480",06/06/2025 15:00,"₹52,910",06/06/2025 15:30
12/AE(E)I/MUMBAI-IV/2025-26,"MOEI and Fans, R/M of P/sets, Lifts, D. G. Set, F. F. Equipments, F. A. System, A. C. Units and Water Cooler etc. at IMU Mumbai Port Campus, Sewri, Mumbai. SH: Comprehensive maintenance of the different type and capacity air conditioners at IMU-MPC.Subwork/Packages:Comprehensive maintenance of the different type and capacity Air Conditioners at IMU-MPC.","₹5,52,846",06/06/2025 15:00,"₹11,057",06/06/2025 15:30
06/EE(E)/AE(E)/Mussoorie/2025-26-Recall,"MOEI i/c compound light at CHE, SOI, Mussoorie. (SH:- Comprehensive annual maintenance of Mitsubishi VRF system at CHE, SOI, Mussoorie.)","₹1,11,948",06/06/2025 15:00,"₹2,239",06/06/2025 15:30
16/EE/AD/2025-26,Making arrangement for IDC at Red Fort Delhi on 15/08/2025 (SH: Providing arrangement for tentage seating arrangement at Madhav Das Park & Other related works),"₹91,54,128",06/06/2025 15:00,"₹1,83,083",06/06/2025 15:30
58/EE/Mumbai-IV/2025-26,"Addition/Alteration in CGH at S.M.Plot, Sector-VII, Phase-II, Antop Hill, Mumbai-37 during 2025-26. SH:Upgradation of old residential quarters as per new norms of 8 Nos. Type-II quarters of Income Tax Pool.Subwork/Packages:Upgradation of old residential quarters as per new norms of 8 Nos. Type-II quarters of Income Tax Pool","₹24,90,758",06/06/2025 15:00,"₹49,815",06/06/2025 15:30
18/EE/AD/2025-26,Making arrangement for IDC at Red Fort Delhi on 15/08/2025 (SH: Providing arrangement of tentage seating arrangement at Rampart and Gyan Path & other related work).,"₹84,21,978",06/06/2025 15:00,"₹1,68,440",06/06/2025 15:30
62/AE(E)/HESD/2025-26 (Recall),"Providing E and M Work Services at HAF, GZB (Comprehensive Maintenance of Dehumidifiers at WSA in AF Station Hindan)","₹4,54,344",06/06/2025 15:00,"₹9,087",06/06/2025 15:30
72/EE(E)/FED/2025-26,SUPLLYING INSTALLATION TESTING AND COMMISSIOING OF PUMP HOUSE PLANT AUTOMATIZATION AND MANAGEMENT SYSTEM WITH MICROPROCESSOR BASED CONTROL PANEL ONLINE MONITORING WIRELESS CONNCETIVITY WITH COMPLETE SCADA SOFTWARE AT PUMP HOUSES AT PUMP ROOM NO 5 AT OLD AND NEW RESDL COLONY NH IV FARIDABAD,"₹12,22,290",06/06/2025 15:00,"₹24,446",06/06/2025 15:30
05/EE/Chd-II/2025-26 (2nd Recall),"Providing and fixing Chain Link Fencing at CIRB, Sub Campus, Nabha (Pb.)","₹13,08,155",06/06/2025 15:00,"₹26,163",06/06/2025 15:30
12/EE(E)/KED/2025-26/Karnal - Recall 2,"Provision of 250 kVA DG Set at CRB, Hisar.Subwork/Packages:Provision of 250 kVA DG Set at CIRB, Hisar.","₹22,47,756",06/06/2025 15:30,"₹44,955",06/06/2025 16:00
21/EE(E)/DED-51/NIT/2025-26,"MOEI and Fans, RMO Pump Sets, FFS of Down Comer System in each block Fire Alarm and Operation of Lifts in 231 Nos. Residential Flats for Ministry of External Affairs at Pappankalan, New Delhi (SH Comprehensive Maintenance of CCTV System and Boom Barrier)Subwork/Packages:MOEI and Fans RMO Pump Sets, FFS of Down Comer System in each block, fire Alarm and Operation of Lifts in 231 Nos Residential Flats for Ministry of External Affairs at Pappankalan, New Delhi (SH Comprehensive Maintenance of CCTV and Boom Barrier)","₹8,36,392",06/06/2025 15:00,"₹16,728",06/06/2025 15:30
13/AE(E)I/MUMBAI-IV/2025-26,"MOEI and Fans, RMO of P/sets, Street Lights, Compound Lights etc. at Kendriya Sadan, Sector-VII, Antop Hill, Mumbai. SH: Annual Comprehensive Maintenance of Computers, Printers and Providing LAN Services  at Regional Training at Kendriya Sadan.Subwork/Packages:Annual Comprehensive Maintenance of Computers, Printers and Providing LAN Services ay Regional Training at Kendriya Sadan.","₹3,68,028",06/06/2025 15:00,"₹7,361",06/06/2025 15:30
17/EE(E )/DED-81/2025-26/AE(E )-III,"Annual comprehensive maintenance  of Thyssenkrupp make  16 passenger  lift in NFSU building  and residential building in sec-3 and 5, Rohini, new delhi","₹1,54,350",06/06/2025 15:30,"₹3,087",06/06/2025 16:00
59/EE/Mumbai-IV/2025-26,"Addition/Alteration in CGH at S.M.Plot, Sector-VII, Phase-II, Antop Hill, Mumbai-37 during 2025-26. SH:Upgradation of old residential quarters as per new norms of Type-IV quarters of Bldg.No.5 Qtr.Nos.74, 75, 77 (3 Nos.) & Bldg.No.03/57 (Type-III) of Income Tax.Subwork/Packages:Upgradation of old residential quarters as per new norms of Type-IV quarters of Bldg.No.5 Qtr.Nos.74, 75, 77 (3 Nos.) & Bldg.No.03/57 (Type-III) of Income Tax","₹27,45,404",06/06/2025 15:10,"₹54,908",06/06/2025 15:40
12/2056-26/EE/Visakhapatnam,"Construction of Utility Complex, Dispensary and Guest House for Indian Maritime University, Vangali, Sabbavaram Mandal, Visakhapatnam SH  Providing cupboardsSubwork/Packages:SH Providing cubpards","₹5,12,630",06/06/2025 17:00,"₹10,253",06/06/2025 17:30
11/ADH/HSDM-II/2025-26,M/o. Various Horticulture works in GPRA Mumbai dg. 2025-26. SH: Providing Services of Computer Operator.,"₹2,82,456",06/06/2025 16:00,"₹5,649",06/06/2025 16:30
42/EE-AMRITSAR/2025-26,"A/R & M/O to Furniture during 2025-26 at 1FBSU Airforce Rajasansi Amritsar. SH: Repair of furniture like table, chairs, bed, sofa & polishing of various types furniture.","₹5,36,478",06/06/2025 16:00,"₹10,730",06/06/2025 16:30
26/EE(E)/BHOPAL/2025-26,Providing Solar Photo Voltaic Power Generation System at Wireless Monitoring Station BhopalSubwork/Packages:Provididng Solar Photo Voltaic Power Generation System at Wirless Monitoring Station Bhopal,"₹6,92,077",09/06/2025 15:00,"₹13,842",09/06/2025 15:42
21/EE/AD/2025-26,Upgradation of 2nd Floor room No. 288-B ICE Gate office at C.R. Building New Delhi dg. 2025-26 (SH: Civil & Electrical work),"₹8,99,649",06/06/2025 16:00,"₹17,993",06/06/2025 16:30
14/NIT/EE(E)-Agra/AE(E)-Bareilly/2025-26/Recall,"Minor repair in Room No. 15 at Division of Veterinary Biotechnology, IVRI, Izzatnagar, Bareilly (SH: Electrical Work)Subwork/Packages:Electrical Work","₹3,51,087",09/06/2025 15:15,"₹7,022",09/06/2025 15:30
03/AE-1/EE/INAPD/2025-2026,"Providing and fixing wooden Flooring and Stool in watch tower in Atal akashya Urja Bhawan ,Opp. CGO Complex ,New Delhi","₹2,94,263",07/06/2025 15:00,"₹5,885",07/06/2025 15:30
G-31/AE(E)II/MUMBAI-IV/2025/30(H),"Supplying & Fixing of fabrication GI pole cover to prevent water ingress in street light poles during monsoon - Phase I & II, Sector VII Antop Hill, Mumbai-37.Subwork/Packages:Supplying & fixing of fabricated GI pole cover to prevent water ingress in street light pole during monsoon - Phase I & II, Sector VII, Antop Hill, Mumbai.",₹0,06/06/2025 16:30,₹0,06/06/2025 17:00
69(1)/HCESD/CPWD/2025/181,Maintenance & operation of Electrical and Residential non residential building for Income Tax at Gadag SH: Comprehensive maintenance of 1 No. 13 passenger Lift,₹0,06/06/2025 17:00,₹0,06/06/2025 17:30
24/EE(E)/PCED/NIT/2025-26,"MOEI & Fans RMO P/Sets street lights and substation at SRO building residential Qtrs. for ESIC at Bibwewadi, Pune.","₹29,25,783",06/06/2025 17:00,"₹58,516",06/06/2025 17:30
12/NIT/EE(E)-Agra/2025-26 - Recall,"Construction/renovation work in the campus of ICMR-NJIL & OMD, Agra (SH: Civil & Electrical works in Conference Hall - Balance work). (SH: SITC of Audio Visual system at conference hall)Subwork/Packages:electrical works","₹27,93,717",09/06/2025 15:00,"₹55,874",10/06/2025 15:30
08/CE/EE-Haldwani/2025-26,Construction of admin block 10 bedded hospital T IV 06 nos T V 02 nos quarters at 57th Bn SSB Sitarganj UK,"₹28,09,82,032",13/06/2025 17:30,"₹38,09,900",13/06/2025 18:00
14/AE(E)I/MUMBAI-IV/2025-26,"Electrical repair works and replacement of unserviceable fixtures in qtrs no A-53, C-218, C-254 and other 2 Nos. Type-III Qtrs at CGS Colony, Wadala, Mumbai.Subwork/Packages:Electrical repair works and replacement of unserviceable fixtures in qtrs no A-53, C-218, C254 and other 2 Nos. Type-III Qtrs. at CGS Colony, Wadala, Mumbai.","₹5,63,812",06/06/2025 17:30,"₹11,276",06/06/2025 18:00
47/EE(E)/DED-21/2025-26,"Annual Maintenance of Surveillance System at 124 Infantry battalion (Territorial Army) SIKH, Near National Stadium New Delhi.","₹4,39,968",06/06/2025 17:10,"₹8,799",06/06/2025 17:30
15/2025-26/CCED/Chandigarh/Div/2nd Call,"Replacement of old air conditioner with new window/ split type AC in RPO office building, Sector 34, Chandigarh","₹20,40,318",10/06/2025 15:00,"₹40,806",10/06/2025 15:30
01/AE/BFD-VI/JSMR/AE-I/2025-26,"CONSTRUCTION OF LATERAL AND AXIAL ROADS IN THE STATE OF PUNJAB & RAJASTHAN ALONG THE INDO PAK BORDER(SH:- LATERAL ROAD , JAISALMER SOUTH SECTOR PACKAGE-I) (SH:- OUTSOURCING OF SERVICES OF DRIVER MTS/MESSENGER FOR DIV OFFICE) (Ist RE-CALL)Subwork/Packages:outsourcing of services of driver mts/messenger for div office","₹4,91,125",06/06/2025 17:15,"₹9,823",06/06/2025 17:30
15/AE (E) II/MUMBAI IV/2025-26,"Upgradation of GPRA Quarters in Phase I & II, Sector VII, Antop Hill, Mumbai. SH Strengthening of meter cabins by providing new lead wire, earth wire and enclosure with MCB in residential buildings of Phase II, Sector VII, Antop Hill, Mumbai 37.Subwork/Packages:Upgradation of GPRA Quarters in Phase I & II, Sector VII, Antop Hill, Mumbai. SH Strengthening of meter cabins by providing new lead wire, earth wire and enclouser with MCB in residential buildings of Phase II, Sector VII,Antop Hill, Mumbai 37","₹5,32,320",06/06/2025 17:30,"₹10,646",06/06/2025 18:00
40/EE/Mumbai-IV/2025-26Recall,"Premonsoon work including arresting leakage / dampness through terrace and external walls of GPRA building at Sector-I to IV, Antop Hill, Mumbai-37 during 2025-26.Subwork/Packages:Premonsoon work including arresting leakage / dampness through terrace and external walls of GPRA building at Sector-I to IV, Antop Hill, Mumbai-37 during 2025-26","₹27,61,153",06/06/2025 17:20,"₹55,223",06/06/2025 17:50
20/CE/DUN/EE/MUSSOORIE/2025-26,"CONSTRUCTION OF THREE STOREY BUILDING FOR CRECHE AFTER DEMOLISHING EXISTING STRUCTURE OF BALWADI STORE AND KITCHEN AT LBSNAA, MUSSOORIE, UTTRAKHANDSubwork/Packages:CONSTRUCTION OF THREE STOREY BUILDING","₹1,42,49,408",09/06/2025 15:00,"₹2,85,000",09/06/2025 15:30
02/EE/BFD-IV/2025-26 2ND CALL,"EOR of IBB Roads in the stretches under IBBR 56 57 62 64 67 68 69 70 75 and link roads total length 200.05 km culvert repair 236 nos and bridge painting 10 nos in the State of West Bengal and Assam along IBB. SW Providing/Supplying 01 no Inspection vehicle with driver for the use of Superintending Engineer, Border Fencing Circle-II IBBZ-II CPWD Matigara Siliguri.Subwork/Packages:Providing / Supplying 01 no Inspection vehicle with driver for the use of Superintending Engineer, Border Fencing Circle-II IBBZ-II CPWD Matigara Siliguri.","₹10,39,812",07/06/2025 15:00,"₹20,797",07/06/2025 15:30
21/EE(E)/PCED/NIT/2025-26(Recall),"Supply, installation, Testing and Commissioning of air cooled Hi Wall split type and cassette type air conditioners at different offices of Nirman Bhavan, Mukundnagar, Pune.","₹11,51,080",09/06/2025 11:00,"₹23,022",09/06/2025 11:30
01/EE/BHUPD-3/2025-26,Construction of bituminous roads (from Hyderabad Gate to Department of Computer Science and Engineering crossing and from IIT crossing to School of Material Science and Technology (SMST) crossing) at IIT(BHU) Varanasi.,"₹9,40,90,025",16/06/2025 15:00,"₹18,81,801",16/06/2025 15:30
03/EE & SM (C)-II/MPC-II/2025-26. - Recall 1,"Construction of Hostel Building, Taylor Hall (Ground Floor plus 16 floors) for NITIE at Powai, Mumbai including water supply ,sanitary installation and drainage, internal electrical installation, fire fighting and fire alarm system, lifts ,CCTV, LAN, system, Solar PV system, intercom, compound light, water pumps and external development. (SH:- Hiring of inspection vehicle for the office of SE cum PD , Mumbai Project Circle-II, CPWD, Antop Hill,Mumbai-37.","₹7,50,671",09/06/2025 15:00,"₹14,732",09/06/2025 15:30
79/EE(E)/HCED/2025-26,RMO 2X110 TR CENTRAL AC SPLIT AC AND WTAC AT CBI ACADEMY GHAZIABAD SH PROVISION FOR VRV UNIT IN REST AREA OF THE DINNING HALL,"₹14,55,245",10/06/2025 15:00,"₹29,105",10/06/2025 15:30
80/EE(E)/HCED/2025-26,RMO E AND M WORK SERVICES FOR INCOME TAX OFFICE BUILDING AT VAISHALI GHAZIABAD SH COMPREHENSIVE MAINTENANCE OF 3X300 TR AC PLANT OF VOLTAS MAKE,"₹32,39,292",10/06/2025 15:00,"₹64,786",10/06/2025 15:30
81/EE(E)/HCED/2025-26,RMO E AND M WORK SERVICES AT EPFO SECTOR 24 NOIDA UP SH ANNUAL MAINTENANCE OF EI FANS SUB STATIN FIRE FIGHTING ALARMS AND PUMP SET,"₹21,98,943",10/06/2025 15:00,"₹43,978",10/06/2025 15:30
